,PubChemID,Molecular_Weight,XLogp,Hydrogen_Bond_Donor_Count,Hydrogen_Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Topological_Polar_Surface_Area,Heavy_Atom_Count,Formal_Charge,Complexity,Isotope_Atom_Count,Defined_Atom_Stereocenter_Count,Undefined_Atom_Stereocenter_Count,Defined_Bond_Stereocenter_Count,Undefined_Bond_Stereocenter_Count,Covalently_Bonded_Unit_Count
0,121304016,602.6,1.9,4,13,14,602.22539909,602.22539909,204.0,42,0,1010,0,6,0,0,0,1
1,131411,477.4,4.4,1,5,8,476.07693,476.07693,80.0,29,0,546,0,0,0,0,0,1
2,134223875,407.5,4.1,2,6,5,407.17327290,407.17327290,87.1,30,0,869,0,1,0,0,0,1
3,135626798,420.5,2.9,1,4,9,420.21614077,420.21614077,74.2,31,0,661,0,0,0,0,0,1
4,155903259,499.5,2.2,3,8,7,499.24063901,499.24063901,131.0,35,0,964,0,6,0,0,0,1
5,6741,374.5,1.9,3,5,2,374.20932405,374.20932405,94.8,27,0,754,0,8,0,0,0,1
6,92727,628.8,5.9,4,5,15,628.36247064,628.36247064,120.0,46,0,940,0,4,0,0,0,1
7,392622,720.9,6.0,4,9,18,720.31276100,720.31276100,202.0,50,0,1040,0,4,0,0,0,1
8,145996610,329.31,-0.8,4,7,6,329.12229995,329.12229995,141.0,23,0,534,0,4,0,0,0,1
9,6321424,875.1,4.1,3,14,8,874.50785703,874.50785703,170.0,62,0,1680,0,20,0,3,0,1
10,492405,157.10,-0.6,2,4,1,157.02875454,157.02875454,84.6,11,0,282,0,0,0,0,0,1
11,3652,335.9,3.6,2,4,9,335.1764402,335.1764402,48.4,23,0,331,0,0,1,0,0,1
12,447043,749.0,4.0,5,14,7,748.50852574,748.50852574,180.0,52,0,1150,0,18,0,0,0,1
13,5324346,318.33,2.6,1,7,9,318.15551240,318.15551240,56.8,22,0,327,0,0,0,1,0,1
14,5743,392.5,1.9,3,6,2,392.19990218,392.19990218,94.8,28,0,805,0,8,0,0,0,1
15,44205240,371.4,-0.5,1,7,5,371.11644398,371.11644398,129.0,26,0,678,0,0,0,0,0,1
16,64927,515.9,,7,11,8,515.1353167,515.1353167,184.0,32,0,359,0,0,1,0,0,3
17,46215462,506.6,5.5,2,7,4,506.29064312,506.29064312,97.8,38,0,775,0,1,0,0,0,1
18,12947,434.0,,4,8,9,433.1438199,433.1438199,131.0,28,0,413,0,0,1,0,0,2
19,132274054,383.4,0.4,3,7,3,383.10521059,383.10521059,129.0,27,0,754,0,0,0,1,0,1
